Npp;Name;OnPoint;FieldCoord;Line
1;Point_Link_Obuh_Kirov_1;;FieldCoord( 'PK_123+75', CoordinateSystem_Picket_AB);GroundLine_2_Put
2;Point_Link_Ribats_Kirov_1;;FieldCoord( 'PK_131+01' , CoordinateSystem_Picket_AB);GroundLine_2_Put
3;Point_Link_Ribats_PeregIzori_2;;FieldCoord( 'PK_159+35' , CoordinateSystem_Picket_AB);GroundLine_2_Put
4;Point_Link_Izori_PeregIzori_2;;FieldCoord( 'PK_184+38' , CoordinateSystem_Picket_AB);GroundLine_2_Put
5;Point_Link_Obuh_Kirov_2;;FieldCoord( 'PK_117+00', CoordinateSystem_Picket_AB );GroundLine_3_Put
6;Point_Link_Obuh_Kirov_3;;FieldCoord( 'PK_119+00' , CoordinateSystem_Picket_AB);GroundLine_3CHP
7;Point_Link_Obuh_Kirov_4;;FieldCoord( 'PK_119+00', CoordinateSystem_Picket_AB );GroundLine_1_Put
8;Point_Link_Ribats_Kirov_2;;FieldCoord( 'PK_129+23', CoordinateSystem_Picket_AB );GroundLine_3_Put
9;Point_Link_Ribats_Kirov_3;;FieldCoord( 'PK_128+50', CoordinateSystem_Picket_AB );GroundLine_3CHP
10;Point_Link_Ribats_Kirov_4;;FieldCoord( 'PK_129+23' , CoordinateSystem_Picket_AB);GroundLine_1_Put
11;Point_Link_Ribats_PeregIzori_1;;FieldCoord( 'PK_159+35' , CoordinateSystem_Picket_AB);GroundLine_1_Put
12;Point_Link_Ribats_Izori_3;;FieldCoord( 'PK_159+35', CoordinateSystem_Picket_AB );GroundLine_3_Put
13;Point_Link_Ribats_PeregIzori_4;;FieldCoord( 'PK_159+35' , CoordinateSystem_Picket_AB);GroundLine_4_Put
14;Point_Link_Izori_PeregIzori_1;;FieldCoord( 'PK_184+38', CoordinateSystem_Picket_AB );GroundLine_1_Put
15;Point_Link_Izori_PeregIzori_4;;FieldCoord( 'PK_178+20', CoordinateSystem_Picket_AB );GroundLine_4_Put
16;Point_Link_Kupch_PeregKupch;;FieldCoord( 'PK_36+07' , CoordinateSystem_Picket_Kupch);GroundLine_6_Put
17;Point_Link_Ribats_PeregKupch;;FieldCoord( 'PK_12+50' , CoordinateSystem_Picket_Kupch);GroundLine_6_Put
18;Point_Link_Ribats_Tpk_19;;FieldCoord(410, CoordinateSystem_EC);GroundLine_19_Tpk_ext
19;Point_Link_Ribats_Tpk_17;;FieldCoord(413, CoordinateSystem_EC);GroundLine_17_Tpk
20;Point_Link_Ribats_Pod_15;;FieldCoord(375, CoordinateSystem_EC);GroundLine_15_Pod
21;Point_Link_Ribats_Tpk_5;;FieldCoord(342, CoordinateSystem_EC);GroundLine_5_Put
22;Point_Link_Ribats_Tpk_9;;FieldCoord(770, CoordinateSystem_EC);GroundLine_9_Put
23;Point_Link_Ribats_Tpk_10;;FieldCoord(770, CoordinateSystem_EC);GroundLine_10_Put
24;Point_Link_Ribats_Pod_23;;FieldCoord(189, CoordinateSystem_EC);GroundLine_13_Pod
25;Point_Link_Ribats_Pod_24;;FieldCoord(-67, CoordinateSystem_EC);GroundLine_24_Pod
26;Point_Link_Ribats_Pod_33;;FieldCoord(28, CoordinateSystem_EC);GroundLine_33_Pod
27;Point_Link_Ribats_Pod_21;;FieldCoord(228, CoordinateSystem_EC);GroundLine_21_Pod_ext
28;Point_s10;;FieldCoord(-813, CoordinateSystem_EC);Line_2Put_Ribats
29;Point_s8;;FieldCoord(-720, CoordinateSystem_EC);Line_2Put_Ribats
30;Point_s16;;FieldCoord(-509, CoordinateSystem_EC);Line_2Put_Ribats
31;Point_s28;;FieldCoord(-454, CoordinateSystem_EC);Line_2Put_Ribats
32;Point_s34;;FieldCoord(-444, CoordinateSystem_EC);Line_2Put_Ribats
33;Point_s32;;FieldCoord(-366, CoordinateSystem_EC);Line_2Put_Ribats
34;Point_s38;;FieldCoord(-345, CoordinateSystem_EC);Line_2Put_Ribats
35;Point_s23;;FieldCoord(781, CoordinateSystem_EC);Line_2Put_Ribats
36;Point_s13;;FieldCoord(971, CoordinateSystem_EC);Line_2Put_Ribats
37;Point_s9;;FieldCoord(1011, CoordinateSystem_EC);Line_2Put_Ribats
38;Point_s3;;FieldCoord(1067, CoordinateSystem_EC);Line_2Put_Ribats
39;Point_s2;;FieldCoord(-883, CoordinateSystem_EC);Line_3Put_Ribats
40;Point_s6;;FieldCoord(-879, CoordinateSystem_EC);Line_3CHP
41;Point_s4;;FieldCoord(-810, CoordinateSystem_EC);Line_1Put_Ribats
42;Point_s12;;FieldCoord(-710, CoordinateSystem_EC);Line_6Put_Ribats
43;Point_s14;;FieldCoord(-691, CoordinateSystem_EC);Line_6Put_Ribats
44;Point_s18;;FieldCoord(-683, CoordinateSystem_EC);Line_1Put_Ribats
45;Point_s22;;FieldCoord(-622, CoordinateSystem_EC);Line_6Put_Ribats
46;Point_s20;;FieldCoord(-607, CoordinateSystem_EC);Line_3Put_Ribats
47;Point_s24;;FieldCoord(-560, CoordinateSystem_EC);Line_8Put_Ribats
48;Point_s26;;FieldCoord(-537, CoordinateSystem_EC);Line_1Put_Ribats
49;Point_s30;;FieldCoord(-444, CoordinateSystem_EC);Line_1Put_Ribats
50;Point_s36;;FieldCoord(-253, CoordinateSystem_EC);Line_6Put_Ribats
51;Point_s40;;FieldCoord(-247, CoordinateSystem_EC);Line_6Put_Ribats
52;Point_s44;;FieldCoord(-208, CoordinateSystem_EC);Line_8Put_Ribats
53;Point_s42;;FieldCoord(-163, CoordinateSystem_EC);Line_7Put_Ribats
54;Point_s46;;FieldCoord(-147, CoordinateSystem_EC);Line_8Put_Ribats
55;Point_s48;;FieldCoord(-128, CoordinateSystem_EC);Line_21_Ribats
56;Point_s50;;FieldCoord(-116, CoordinateSystem_EC);Line_21_Ribats
57;Point_s52;;FieldCoord(-60, CoordinateSystem_EC);Line_21_Ribats
58;Point_s54;;FieldCoord(-6, CoordinateSystem_EC);Line_13_Ribats
59;Point_s47;;FieldCoord(8, CoordinateSystem_EC);Line_13_Ribats
60;Point_s43;;FieldCoord(45, CoordinateSystem_EC);Line_11Put_Ribats
61;Point_s45;;FieldCoord(52, CoordinateSystem_EC);Line_13_Ribats
62;Point_s39;;FieldCoord(79, CoordinateSystem_EC);Line_3Put_Ribats
63;Point_s41;;FieldCoord(112, CoordinateSystem_EC);Line_9Put_Ribats
64;Point_s37;;FieldCoord(143, CoordinateSystem_EC);Line_19_Ribats
65;Point_s35;;FieldCoord(145, CoordinateSystem_EC);Line_19_Ribats
66;Point_s33;;FieldCoord(179, CoordinateSystem_EC);Line_19_Ribats
67;Point_s31;;FieldCoord(430, CoordinateSystem_EC);Line_3Put_Ribats
68;Point_s29;;FieldCoord(512, CoordinateSystem_EC);Line_1Put_Ribats
