Npp;Name;OnPoint;FieldCoord;Line;PropBorders;IsFictive
1;Point_Link_Obuh_Kirov_1;;FieldCoord( 'PK_123+75', CoordinateSystem_Picket_AB);GroundLine_2_Put;(GraphSegment_Obuh_Station,GraphSegment_1_Kirovs_Put);
2;Point_Link_Ribats_Kirov_1;;FieldCoord( 'PK_131+01' , CoordinateSystem_Picket_AB);GroundLine_2_Put;(GraphSegment_1_Kirovs_Put,GraphSegment_Station);
3;Point_Link_Ribats_PeregIzori_2;;FieldCoord( 'PK_159+35' , CoordinateSystem_Picket_AB);GroundLine_2_Put;(GraphSegment_Station,GraphSegment_2_PeregIzori);
4;Point_Link_Izori_PeregIzori_2;;FieldCoord( 'PK_184+38' , CoordinateSystem_Picket_AB);GroundLine_2_Put;(GraphSegment_2_PeregIzori,GraphSegment_Izori_Station);
5;Point_Link_Obuh_Kirov_2;;FieldCoord( 'PK_117+00', CoordinateSystem_Picket_AB );GroundLine_3_Put;(GraphSegment_Obuh_Station,GraphSegment_2_Kirovs_Put);
6;Point_Link_Obuh_Kirov_3;;FieldCoord( 'PK_119+00' , CoordinateSystem_Picket_AB);GroundLine_3CHP;(GraphSegment_Obuh_Station,GraphSegment_3_Kirovs_Put);
7;Point_Link_Obuh_Kirov_4;;FieldCoord( 'PK_119+00', CoordinateSystem_Picket_AB );GroundLine_1_Put;(GraphSegment_Obuh_Station,GraphSegment_4_Kirovs_Put);
8;Point_Link_Ribats_Kirov_2;;FieldCoord( 'PK_129+23', CoordinateSystem_Picket_AB );GroundLine_3_Put;(GraphSegment_2_Kirovs_Put,GraphSegment_Station);
9;Point_Link_Ribats_Kirov_3;;FieldCoord( 'PK_128+50', CoordinateSystem_Picket_AB );GroundLine_3CHP;(GraphSegment_3_Kirovs_Put,GraphSegment_Station);
10;Point_Link_Ribats_Kirov_4;;FieldCoord( 'PK_129+23' , CoordinateSystem_Picket_AB);GroundLine_1_Put;(GraphSegment_4_Kirovs_Put,GraphSegment_Station);
11;Point_Link_Ribats_PeregIzori_1;;FieldCoord( 'PK_159+35' , CoordinateSystem_Picket_AB);GroundLine_1_Put;(GraphSegment_Station,GraphSegment_1_PeregIzori);
12;Point_Link_Ribats_Izori_3;;FieldCoord( 'PK_159+35', CoordinateSystem_Picket_AB );GroundLine_3_Put;(GraphSegment_Station,GraphSegment_Izori_Station);
13;Point_Link_Ribats_PeregIzori_4;;FieldCoord( 'PK_159+35' , CoordinateSystem_Picket_AB);GroundLine_4_Put;(GraphSegment_Station,GraphSegment_4_PeregIzori);
14;Point_Link_Izori_PeregIzori_1;;FieldCoord( 'PK_184+38', CoordinateSystem_Picket_AB );GroundLine_1_Put;(GraphSegment_1_PeregIzori,GraphSegment_Izori_Station);
15;Point_Link_Izori_PeregIzori_4;;FieldCoord( 'PK_178+20', CoordinateSystem_Picket_AB );GroundLine_4_Put;(GraphSegment_4_PeregIzori,GraphSegment_Izori_Station);
16;Point_Link_Kupch_PeregKupch;;FieldCoord( 'PK_36+07' , CoordinateSystem_Picket_Kupch);GroundLine_6_Put;(GraphSegment_Kupch_Station,GraphSegment_PeregKupch);
17;Point_Link_Ribats_PeregKupch;;FieldCoord( 'PK_12+50' , CoordinateSystem_Picket_Kupch);GroundLine_6_Put;(GraphSegment_PeregKupch,GraphSegment_Station);
18;Point_Link_Ribats_Tpk_19;;FieldCoord(410, CoordinateSystem_EC);GroundLine_19_Tpk_ext;(GraphSegment_Station,GraphSegment_Ground);
19;Point_Link_Ribats_Tpk_17;;FieldCoord(413, CoordinateSystem_EC);GroundLine_17_Tpk;(GraphSegment_Station,GraphSegment_Ground);
20;Point_Link_Ribats_Pod_15;;FieldCoord(375, CoordinateSystem_EC);GroundLine_15_Pod;(GraphSegment_Station,GraphSegment_Ground);
21;Point_Link_Ribats_Tpk_5;;FieldCoord(342, CoordinateSystem_EC);GroundLine_5_Put;(GraphSegment_Ground,GraphSegment_Station);
22;Point_Link_Ribats_Tpk_9;;FieldCoord(770, CoordinateSystem_EC);GroundLine_9_Put;(GraphSegment_Station,GraphSegment_Ground);
23;Point_Link_Ribats_Tpk_10;;FieldCoord(770, CoordinateSystem_EC);GroundLine_10_Put;(GraphSegment_Station,GraphSegment_Ground);
24;Point_Link_Ribats_Pod_23;;FieldCoord(189, CoordinateSystem_EC);GroundLine_13_Pod;(GraphSegment_Station,GraphSegment_Ground);
25;Point_Link_Ribats_Pod_24;;FieldCoord(-67, CoordinateSystem_EC);GroundLine_24_Pod;(GraphSegment_Station,GraphSegment_Ground);
26;Point_Link_Ribats_Pod_33;;FieldCoord(28, CoordinateSystem_EC);GroundLine_33_Pod;(GraphSegment_Station,GraphSegment_Ground);
27;Point_Link_Ribats_Pod_21;;FieldCoord(228, CoordinateSystem_EC);GroundLine_21_Pod_ext;(GraphSegment_Station,GraphSegment_Ground);
28;Point_s10;;FieldCoord(-813, CoordinateSystem_EC);Line_2Put_Ribats;;
29;Point_s8;;FieldCoord(-720, CoordinateSystem_EC);Line_2Put_Ribats;;
30;Point_s16;;FieldCoord(-509, CoordinateSystem_EC);Line_2Put_Ribats;;
31;Point_s28;;FieldCoord(-454, CoordinateSystem_EC);Line_2Put_Ribats;;
32;Point_s34;;FieldCoord(-444, CoordinateSystem_EC);Line_2Put_Ribats;;
33;Point_s32;;FieldCoord(-366, CoordinateSystem_EC);Line_2Put_Ribats;;
34;Point_s38;;FieldCoord(-345, CoordinateSystem_EC);Line_2Put_Ribats;;
35;Point_s23;;FieldCoord(781, CoordinateSystem_EC);Line_2Put_Ribats;;
36;Point_s13;;FieldCoord(971, CoordinateSystem_EC);Line_2Put_Ribats;;
37;Point_s9;;FieldCoord(1011, CoordinateSystem_EC);Line_2Put_Ribats;;
38;Point_s3;;FieldCoord(1067, CoordinateSystem_EC);Line_2Put_Ribats;;
39;Point_s2;;FieldCoord(-883, CoordinateSystem_EC);Line_3Put_Ribats;;
40;Point_s6;;FieldCoord(-879, CoordinateSystem_EC);Line_3CHP;;
41;Point_s4;;FieldCoord(-810, CoordinateSystem_EC);Line_1Put_Ribats;;
42;Point_s12;;FieldCoord(-710, CoordinateSystem_EC);Line_6Put_Ribats;;
