Npp;Name;Point_Begin;Point_End;Angle;Order
1;Line_Kirov_1;Point_Link_Obuh_Kirov_1;Point_Link_Ribats_Kirov_1;0;7
2;Line_Kirov_2;Point_Link_Obuh_Kirov_2;Point_Link_Ribats_Kirov_2;0;4
3;Line_Kirov_3;Point_Link_Obuh_Kirov_3;Point_Link_Ribats_Kirov_3;0;6
4;Line_Kirov_4;Point_Link_Obuh_Kirov_4;Point_Link_Ribats_Kirov_4;0;5
5;Line_PeregIzori_1;Point_Link_Ribats_PeregIzori_1;Point_Link_Izori_PeregIzori_1;0;5
6;Line_PeregIzori_2;Point_Link_Ribats_PeregIzori_2;Point_Link_Izori_PeregIzori_2;0;7
7;Line_PeregIzori_4;Point_Link_Ribats_PeregIzori_4;Point_Link_Izori_PeregIzori_4;0;8
8;Line_Kupchins;Point_Link_Kupch_PeregKupch;Point_Link_Ribats_PeregKupch;0;10
9;Line_1Put_Ribats;Point_Link_Ribats_Kirov_4;Point_Link_Ribats_PeregIzori_1;0;5
10;Line_2Put_Ribats;Point_Link_Ribats_Kirov_1;Point_Link_Ribats_PeregIzori_2;0;7
11;Line_3CHP;Point_Link_Ribats_Kirov_3;Point_FictivEnd_3CHP;0;6
12;Line_3Put_Ribats;Point_Link_Ribats_Kirov_2;Point_Link_Ribats_Izori_3;0;4
13;Line_4Put_Ribats;Point_s38;Point_Link_Ribats_PeregIzori_4;0;8
14;Line_5Put_Ribats;Point_Link_Ribats_Tpk_5;Point_s27;0;9
15;Line_6Put_Ribats;Point_Link_Ribats_PeregKupch;Point_s21;0;10
16;Line_7Put_Ribats;Point_s24;Point_s17;0;11
17;Line_8Put_Ribats;Point_s22;Point_s19;0;12
18;Line_9Put_Ribats;Point_s43;Point_Link_Ribats_Tpk_9;0;13
19;Line_10Put_Ribats;Point_s41;Point_Link_Ribats_Tpk_10;0;14
20;Line_11Put_Ribats;Point_s47;Point_s7;0;15
21;Line_12Put_Ribats;Point_s45;Point_s5;0;16
22;Line_13_Ribats;Point_s46;Point_Link_Ribats_Pod_23;1;17
23;Line_21_Ribats;Point_s44;Point_Link_Ribats_Pod_21;1;20
24;Line_24_Ribats;Point_s50;Point_Link_Ribats_Pod_24;0;18
25;Line_33_Ribats;Point_s52;Point_Link_Ribats_Pod_33;0;19
26;Line_19_Ribats;Point_s39;Point_Link_Ribats_Tpk_19;-1;1
27;Line_17_Ribats;Point_s33;Point_Link_Ribats_Tpk_17;0;2
28;Line_15_Ribats;Point_s35;Point_Link_Ribats_Pod_15;0;3
29;Line_Desc_2_4;Point_s2;Point_s4;;
30;Line_Desc_6_8;Point_s6;Point_s8;;
31;Line_Desc_10_12;Point_s10;Point_s12;;
32;Line_Desc_14_16;Point_s14;Point_s16;;
33;Line_Desc_18_20;Point_s18;Point_s20;;
34;Line_Desc_26_28;Point_s26;Point_s28;;
35;Line_Desc_30_32;Point_s30;Point_s32;;
36;Line_Desc_34_36;Point_s34;Point_s36;;
37;Line_Desc_40_42;Point_s40;Point_s42;;
38;Line_Desc_29_31;Point_s29;Point_s31;;
39;Line_Desc_23_25;Point_s23;Point_s25;;
40;Line_Desc_13_15;Point_s13;Point_s15;;
41;Line_Desc_9_11;Point_s9;Point_s11;;
42;Line_Desc_1_3;Point_s1;Point_s3;;
