Npp;Name;PlacePoint;Line_Minus;Line_Plus;Curve;SymbolsList;Delta_Minus;Delta_Plus
1;Joint_s2_plus;Point_s2;Line_3Put_Ribats;Line_3Put_Ribats;0;2;0;0
2;Joint_s2_minus;Point_s2;Line_3Put_Ribats;Line_Desc_2_4;11;-2;0;0
3;Joint_s4_plus;Point_s4;Line_1Put_Ribats;Line_1Put_Ribats;0;4;0;0
4;Joint_s4_minus;Point_s4;Line_Desc_2_4;Line_1Put_Ribats;11;-4;0;0
5;Joint_s6_plus;Point_s6;Line_3CHP;GroundLine_3CHP;0;6;0;0
6;Joint_s6_minus;Point_s6;Line_3CHP;Line_Desc_6_8;11;-6;0;0
7;Joint_s8_plus;Point_s8;Line_2Put_Ribats;Line_2Put_Ribats;0;8;0;0
8;Joint_s8_minus;Point_s8;Line_Desc_6_8;Line_2Put_Ribats;11;-8;0;0
9;Joint_s10_plus;Point_s10;Line_2Put_Ribats;Line_2Put_Ribats;0;10;0;0
10;Joint_s10_minus;Point_s10;Line_2Put_Ribats;Line_Desc_10_12;11;-10;0;0
11;Joint_s12_plus;Point_s12;Line_6Put_Ribats;Line_6Put_Ribats;0;12;0;0
12;Joint_s12_minus;Point_s12;Line_Desc_10_12;Line_6Put_Ribats;11;-12;0;0
13;Joint_s14_plus;Point_s14;Line_6Put_Ribats;Line_6Put_Ribats;0;14;0;0
14;Joint_s14_minus;Point_s14;Line_6Put_Ribats;Line_Desc_14_16;11;-14;0;0
15;Joint_s16_plus;Point_s16;Line_2Put_Ribats;Line_2Put_Ribats;0;16;0;0
16;Joint_s16_minus;Point_s16;Line_Desc_14_16;Line_2Put_Ribats;11;-16;0;0
17;Joint_s18_plus;Point_s18;Line_1Put_Ribats;Line_1Put_Ribats;0;18;0;0
18;Joint_s18_minus;Point_s18;Line_1Put_Ribats;Line_Desc_18_20;11;-18;0;0
19;Joint_s20_plus;Point_s20;Line_3Put_Ribats;Line_3Put_Ribats;0;20;0;0
20;Joint_s20_minus;Point_s20;Line_Desc_18_20;Line_3Put_Ribats;11;-20;0;0
21;Joint_s22_plus;Point_s22;Line_6Put_Ribats;Line_6Put_Ribats;0;22;0;0
22;Joint_s22_minus;Point_s22;Line_6Put_Ribats;Line_8Put_Ribats;11;-22;0;0
23;Joint_s24_plus;Point_s24;Line_8Put_Ribats;Line_8Put_Ribats;0;24;0;0
24;Joint_s24_minus;Point_s24;Line_8Put_Ribats;Line_7Put_Ribats;11;-24;0;0
25;Joint_s26_plus;Point_s26;Line_1Put_Ribats;Line_1Put_Ribats;0;26;0;0
26;Joint_s26_minus;Point_s26;Line_1Put_Ribats;Line_Desc_26_28;11;-26;0;0
27;Joint_s28_plus;Point_s28;Line_2Put_Ribats;Line_2Put_Ribats;0;28;0;0
28;Joint_s28_minus;Point_s28;Line_Desc_26_28;Line_2Put_Ribats;11;-28;0;0
29;Joint_s30_plus;Point_s30;Line_1Put_Ribats;Line_1Put_Ribats;0;30;0;0
30;Joint_s30_minus;Point_s30;Line_1Put_Ribats;Line_Desc_30_32;11;-30;0;0
31;Joint_s32_plus;Point_s32;Line_2Put_Ribats;Line_2Put_Ribats;0;32;0;0
32;Joint_s32_minus;Point_s32;Line_Desc_30_32;Line_2Put_Ribats;11;-32;0;0
33;Joint_s34_plus;Point_s34;Line_2Put_Ribats;Line_2Put_Ribats;0;34;0;0
34;Joint_s34_minus;Point_s34;Line_2Put_Ribats;Line_Desc_34_36;11;-34;0;0
35;Joint_s36_plus;Point_s36;Line_6Put_Ribats;Line_6Put_Ribats;0;36;0;0
36;Joint_s36_minus;Point_s36;Line_Desc_34_36;Line_6Put_Ribats;11;-36;0;0
37;Joint_s38_plus;Point_s38;Line_2Put_Ribats;Line_2Put_Ribats;0;38;0;0
38;Joint_s38_minus;Point_s38;Line_2Put_Ribats;Line_2Put_Ribats;11;-38;0;0
39;Joint_s40_plus;Point_s40;Line_6Put_Ribats;Line_6Put_Ribats;0;40;0;0
40;Joint_s40_minus;Point_s40;Line_6Put_Ribats;Line_Desc_40_42;11;-40;0;0
41;Joint_s42_plus;Point_s42;Line_7Put_Ribats;Line_7Put_Ribats;0;42;0;0
42;Joint_s42_minus;Point_s42;Line_Desc_40_42;Line_7Put_Ribats;11;-42;0;0
43;Joint_s44_plus;Point_s44;Line_8Put_Ribats;Line_8Put_Ribats;0;44;0;0
44;Joint_s44_minus;Point_s44;Line_8Put_Ribats;Line_21_Ribats;9;-44;0;0
45;Joint_s46_plus;Point_s46;Line_8Put_Ribats;Line_8Put_Ribats;0;46;0;0
46;Joint_s46_minus;Point_s46;Line_8Put_Ribats;Line_13_Ribats;11;-46;0;0
47;Joint_s48_plus;Point_s48;GroundLine_s48;Line_21_Ribats;0;48;0;0
48;Joint_s48_minus;Point_s48;Line_21_Ribats;Line_21_Ribats;0;-48;0;0
49;Joint_s50_plus;Point_s50;Line_21_Ribats;Line_21_Ribats;0;50;0;0
50;Joint_s50_minus;Point_s50;Line_21_Ribats;Line_24_Ribats;11;-50;0;0
51;Joint_s52_plus;Point_s52;Line_21_Ribats;Line_21_Ribats;0;52;0;0
52;Joint_s52_minus;Point_s52;Line_21_Ribats;Line_33_Ribats;11;-52;0;0
53;Joint_s54_plus;Point_s54;GroundLine_s54;Line_13_Ribats;0;54;0;0
54;Joint_s54_minus;Point_s54;Line_13_Ribats;Line_13_Ribats;11;-54;0;0
55;Joint_s1_plus;Point_s1;Line_1Put_Ribats;Line_1Put_Ribats;0;1;0;0
56;Joint_s1_minus;Point_s1;Line_Desc_1_3;Line_1Put_Ribats;11;-1;0;0
57;Joint_s3_plus;Point_s3;Line_2Put_Ribats;Line_2Put_Ribats;0;3;0;0
58;Joint_s3_minus;Point_s3;Line_2Put_Ribats;Line_Desc_1_3;11;-3;0;0
59;Joint_s5_plus;Point_s5;Line_4Put_Ribats;Line_4Put_Ribats;0;5;0;0
60;Joint_s5_minus;Point_s5;Line_12Put_Ribats;Line_4Put_Ribats;11;-5;0;0
61;Joint_s7_plus;Point_s7;Line_4Put_Ribats;Line_4Put_Ribats;0;7;0;0
62;Joint_s7_minus;Point_s7;Line_11Put_Ribats;Line_4Put_Ribats;11;-7;0;0
63;Joint_s9_plus;Point_s9;Line_2Put_Ribats;Line_2Put_Ribats;0;9;0;0
64;Joint_s9_minus;Point_s9;Line_Desc_9_11;Line_2Put_Ribats;11;-9;0;0
65;Joint_s11_plus;Point_s11;Line_4Put_Ribats;Line_4Put_Ribats;0;11;0;0
66;Joint_s11_minus;Point_s11;Line_4Put_Ribats;Line_Desc_9_11;11;-11;0;0
67;Joint_s13_plus;Point_s13;Line_2Put_Ribats;Line_2Put_Ribats;0;13;0;0
68;Joint_s13_minus;Point_s13;Line_Desc_13_15;Line_2Put_Ribats;11;-13;0;0
69;Joint_s15_plus;Point_s15;Line_1Put_Ribats;Line_1Put_Ribats;0;15;0;0
70;Joint_s15_minus;Point_s15;Line_1Put_Ribats;Line_Desc_13_15;11;-15;0;0
71;Joint_s17_plus;Point_s17;Line_4Put_Ribats;Line_4Put_Ribats;0;17;0;0
72;Joint_s17_minus;Point_s17;Line_7Put_Ribats;Line_4Put_Ribats;11;-17;0;0
73;Joint_s19_plus;Point_s19;Line_7Put_Ribats;Line_7Put_Ribats;0;19;0;0
74;Joint_s19_minus;Point_s19;Line_7Put_Ribats;Line_7Put_Ribats;11;-19;0;0
75;Joint_s21_plus;Point_s21;Line_4Put_Ribats;Line_4Put_Ribats;0;21;0;0
76;Joint_s21_minus;Point_s21;Line_6Put_Ribats;Line_4Put_Ribats;11;-21;0;0
77;Joint_s23_plus;Point_s23;Line_2Put_Ribats;Line_2Put_Ribats;0;23;0;0
78;Joint_s23_minus;Point_s23;Line_Desc_23_25;Line_2Put_Ribats;11;-23;0;0
79;Joint_s25_plus;Point_s25;Line_4Put_Ribats;Line_4Put_Ribats;0;25;0;0
80;Joint_s25_minus;Point_s25;Line_4Put_Ribats;Line_Desc_23_25;11;-25;0;0
81;Joint_s27_plus;Point_s27;Line_4Put_Ribats;Line_4Put_Ribats;0;27;0;0
82;Joint_s27_minus;Point_s27;Line_5Put_Ribats;Line_4Put_Ribats;11;-27;0;0
83;Joint_s29_plus;Point_s29;Line_1Put_Ribats;Line_1Put_Ribats;0;29;0;0
84;Joint_s29_minus;Point_s29;Line_Desc_29_31;Line_1Put_Ribats;11;-29;0;0
85;Joint_s31_plus;Point_s31;Line_3Put_Ribats;Line_3Put_Ribats;0;31;0;0
86;Joint_s31_minus;Point_s31;Line_3Put_Ribats;Line_Desc_29_31;11;-31;0;0
87;Joint_s33_plus;Point_s33;Line_19_Ribats;Line_19_Ribats;0;33;0;0
88;Joint_s33_minus;Point_s33;Line_19_Ribats;Line_17_Ribats;11;-33;0;0
89;Joint_s35_plus;Point_s35;Line_19_Ribats;Line_19_Ribats;0;35;0;0
90;Joint_s35_minus;Point_s35;Line_19_Ribats;Line_15_Ribats;11;-35;0;0
91;Joint_s37_plus;Point_s37;GroundLine_s37;Line_19_Ribats;0;37;0;0
92;Joint_s37_minus;Point_s37;Line_19_Ribats;Line_19_Ribats;0;-37;0;0
93;Joint_s39_plus;Point_s39;Line_3Put_Ribats;Line_3Put_Ribats;0;39;0;0
94;Joint_s39_minus;Point_s39;Line_3Put_Ribats;Line_19_Ribats;11;-39;0;0
95;Joint_s41_plus;Point_s41;Line_9Put_Ribats;Line_9Put_Ribats;0;41;0;0
96;Joint_s41_minus;Point_s41;Line_9Put_Ribats;Line_10Put_Ribats;11;-41;0;0
97;Joint_s43_plus;Point_s43;Line_11Put_Ribats;Line_11Put_Ribats;0;43;0;0
98;Joint_s43_minus;Point_s43;Line_11Put_Ribats;Line_9Put_Ribats;11;-43;0;0
99;Joint_s45_plus;Point_s45;Line_13_Ribats;Line_13_Ribats;0;45;0;0
100;Joint_s45_minus;Point_s45;Line_13_Ribats;Line_12Put_Ribats;11;-45;0;0
101;Joint_s47_plus;Point_s47;Line_13_Ribats;Line_13_Ribats;0;47;0;0
102;Joint_s47_minus;Point_s47;Line_13_Ribats;Line_11Put_Ribats;11;-47;0;0
