Npp;Name;PlacePoint;StartRoutePoints;Type;Direction;Colors;MainSignal
1;Light_M1;Point_M1;Point_M1;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
2;Light_M2;Point_M2;Point_M2;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
3;Light_M3;Point_M3;Point_M3;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
4;Light_M4;Point_M4;Point_M4;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
5;Light_M5;Point_M5;Point_M5;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
6;Light_M6;Point_M6;Point_M6;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
7;Light_M7;Point_M7;Point_M7;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
8;Light_M8;Point_M8;Point_M8;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
9;Light_M9;Point_M9;Point_M9;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
10;Light_M10;Point_M10;Point_M10;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
11;Light_M11;Point_M11;Point_M11;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
12;Light_M12;Point_M12;Point_M12;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
13;Light_M13;Point_M13;Point_M13;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
14;Light_M14;Point_M14;Point_M14;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
15;Light_M15;Point_M15;Point_M15;E_SigType.Man;E_Direct.Minus;[E_SigColor.R, E_SigColor.W];
16;Light_M16;Point_M16;Point_M16;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
17;Light_M17;Point_M17;Point_M17;E_SigType.Man;E_Direct.Minus;[E_SigColor.R, E_SigColor.W];
18;Light_M18;Point_M18;Point_M18;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
19;Light_M19;Point_M19;Point_M19;E_SigType.Man;E_Direct.Minus;[E_SigColor.R, E_SigColor.W];
20;Light_M20;Point_M20;Point_M20;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
21;Light_M21;Point_M21;Point_M21;E_SigType.Man;E_Direct.Minus;[E_SigColor.R, E_SigColor.W];
22;Light_M22;Point_M22;Point_M22;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
23;Light_M23;Point_M23;;E_SigType.Repeat;E_Direct.Minus;[E_SigColor.R, E_SigColor.W];Light_NM9_12
24;Light_M24;Point_M24;Point_M24;E_SigType.Man;E_Direct.Minus;[E_SigColor.R, E_SigColor.W];
25;Light_M25;Point_M25;Point_M25;E_SigType.Man;E_Direct.Minus;[E_SigColor.B, E_SigColor.W];
26;Light_M27;Point_M27;Point_M27;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
27;Light_M29;Point_M29;Point_M29;E_SigType.Man;E_Direct.Plus;[E_SigColor.B, E_SigColor.W];
