Npp;Name;Type
1;IsolSegment_GroundRC;E_IsolSegmType.FICTIVE
2;IsolSegment_1RC_Obuh;E_IsolSegmType.FICTIVE
3;IsolSegment_2RC_Obuh;E_IsolSegmType.FICTIVE
4;IsolSegment_3RC_Obuh;E_IsolSegmType.FICTIVE
5;IsolSegment_4RC_Obuh;E_IsolSegmType.FICTIVE
6;IsolSegment_1CH3P;E_IsolSegmType.ABTC
7;IsolSegment_1CH1P;E_IsolSegmType.ABTC
8;IsolSegment_3CH3P;E_IsolSegmType.ABTC
9;IsolSegment_3CH1P;E_IsolSegmType.ABTC
10;IsolSegment_2CH8P;E_IsolSegmType.ABTC
11;IsolSegment_2CH6P;E_IsolSegmType.ABTC
12;IsolSegment_2CH4P;E_IsolSegmType.ABTC
13;IsolSegment_2CH2P;E_IsolSegmType.ABTC
14;IsolSegment_4CH6P;E_IsolSegmType.ABTC
15;IsolSegment_4CH4P;E_IsolSegmType.ABTC
16;IsolSegment_4CH2P;E_IsolSegmType.ABTC
17;IsolSegment_1CHP;E_IsolSegmType.BESSTREL
18;IsolSegment_10SP;E_IsolSegmType.STREL
19;IsolSegment_6_8SP;E_IsolSegmType.STREL
20;IsolSegment_16_34SP;E_IsolSegmType.STREL
21;IsolSegment_32SP;E_IsolSegmType.STREL
22;IsolSegment_38SP;E_IsolSegmType.STREL
23;IsolSegment_2P;E_IsolSegmType.PUT
24;IsolSegment_23SP;E_IsolSegmType.STREL
25;IsolSegment_9_13SP;E_IsolSegmType.STREL
26;IsolSegment_3SP;E_IsolSegmType.STREL
27;IsolSegment_2NDP;E_IsolSegmType.BESSTREL
28;IsolSegment_3CHP;E_IsolSegmType.BESSTREL
29;IsolSegment_4CHDP;E_IsolSegmType.BESSTREL
30;IsolSegment_4SP;E_IsolSegmType.STREL
31;IsolSegment_18_26SP;E_IsolSegmType.STREL
32;IsolSegment_30SP;E_IsolSegmType.STREL
33;IsolSegment_1P;E_IsolSegmType.PUT
34;IsolSegment_29SP;E_IsolSegmType.STREL
35;IsolSegment_1AP;E_IsolSegmType.PUT
36;IsolSegment_15SP;E_IsolSegmType.STREL
37;IsolSegment_1SP;E_IsolSegmType.STREL
38;IsolSegment_1NP;E_IsolSegmType.BESSTREL
39;IsolSegment_2CHDP;E_IsolSegmType.BESSTREL
40;IsolSegment_2SP;E_IsolSegmType.STREL
41;IsolSegment_20SP;E_IsolSegmType.STREL
42;IsolSegment_3P;E_IsolSegmType.BESSTREL_ON_STRVP
43;IsolSegment_39SP;E_IsolSegmType.STREL_ON_STRVP
44;IsolSegment_3AP;E_IsolSegmType.BESSTREL_ON_STRVP
45;IsolSegment_31SP;E_IsolSegmType.STREL
46;IsolSegment_3NP;E_IsolSegmType.BESSTREL
