Npp;Name;Family;Shift;AnchorPoint
1;GroundLine_19_Tpk_ext;GroundLineFamily_Main;5;
2;GroundLine_17_Tpk;GroundLineFamily_Main;10;
3;GroundLine_15_Pod;GroundLineFamily_Main;15;
4;GroundLine_3_Put;GroundLineFamily_Main;20;
5;GroundLine_1_Put;GroundLineFamily_Main;25;
6;GroundLine_3CHP;GroundLineFamily_Main;30;
7;GroundLine_2_Put;GroundLineFamily_Main;35;
8;GroundLine_4_Put;GroundLineFamily_Main;40;
9;GroundLine_5_Put;GroundLineFamily_Main;45;
10;GroundLine_6_Put;GroundLineFamily_Main;50;
11;GroundLine_7_Put;GroundLineFamily_Main;55;
12;GroundLine_8_Put;GroundLineFamily_Main;60;
13;GroundLine_9_Put;GroundLineFamily_Main;65;
14;GroundLine_10_Put;GroundLineFamily_Main;70;
15;GroundLine_11_Put;GroundLineFamily_Main;75;
16;GroundLine_12_Put;GroundLineFamily_Main;80;
17;GroundLine_13_Pod_ext;GroundLineFamily_Main;85;
18;GroundLine_24_Pod;GroundLineFamily_Main;90;
19;GroundLine_33_Pod;GroundLineFamily_Main;95;
20;GroundLine_21_Pod_ext;GroundLineFamily_Main;100;
21;GroundLine_19_Pod;GroundLineFamily_Minus_Angle;;Point_s39
22;GroundLine_13_Pod;GroundLineFamily_Plus_Angle;;Point_s46
23;GroundLine_21_Pod;GroundLineFamily_Plus_Angle;;Point_s44
24;GroundLine_s37;GroundLineFamily_Main;;Point_s37
25;GroundLine_s48;GroundLineFamily_Main;;Point_s48
26;GroundLine_s54;GroundLineFamily_Main;;Point_s54
